,date,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances,Year,Month,Day
199,1990-07-19,False,False,False,,1990,7,19
200,1990-07-20,False,False,False,,1990,7,20
201,1990-07-21,False,False,False,,1990,7,21
202,1990-07-22,False,False,False,,1990,7,22
203,1990-07-23,False,False,False,,1990,7,23
204,1990-07-24,False,False,False,,1990,7,24
205,1990-07-25,False,False,False,,1990,7,25
206,1990-07-26,False,False,False,,1990,7,26
207,1990-07-27,False,False,False,,1990,7,27
208,1990-07-28,False,False,False,,1990,7,28
209,1990-07-29,False,False,False,,1990,7,29
210,1990-07-30,False,False,False,,1990,7,30
211,1990-07-31,False,False,False,,1990,7,31
212,1990-08-01,False,False,False,,1990,8,1
213,1990-08-02,False,False,False,,1990,8,2
214,1990-08-03,False,False,False,,1990,8,3
215,1990-08-04,False,False,False,,1990,8,4
216,1990-08-05,False,False,False,,1990,8,5
217,1990-08-06,False,False,False,,1990,8,6
218,1990-08-07,False,False,False,,1990,8,7
219,1990-08-08,False,False,False,,1990,8,8
220,1990-08-09,False,False,False,,1990,8,9
221,1990-08-10,False,False,False,,1990,8,10
222,1990-08-11,False,False,False,,1990,8,11
223,1990-08-12,False,False,False,,1990,8,12
224,1990-08-13,False,False,False,,1990,8,13
225,1990-08-14,False,False,False,,1990,8,14
226,1990-08-15,False,False,False,,1990,8,15
227,1990-08-16,False,False,False,,1990,8,16
228,1990-08-17,False,False,False,,1990,8,17
229,1990-08-18,False,False,False,,1990,8,18
230,1990-08-19,False,False,False,,1990,8,19
231,1990-08-20,False,False,False,,1990,8,20
232,1990-08-21,False,False,False,,1990,8,21
233,1990-08-22,False,False,False,,1990,8,22
234,1990-08-23,False,False,False,,1990,8,23
235,1990-08-24,False,False,False,,1990,8,24
236,1990-08-25,False,False,False,,1990,8,25
237,1990-08-26,False,False,False,,1990,8,26
238,1990-08-27,False,False,False,,1990,8,27
239,1990-08-28,False,False,False,,1990,8,28
240,1990-08-29,False,False,False,,1990,8,29
241,1990-08-30,False,False,False,,1990,8,30
242,1990-08-31,False,False,False,,1990,8,31
243,1990-09-01,False,False,False,,1990,9,1
244,1990-09-02,False,False,False,,1990,9,2
245,1990-09-03,False,False,False,,1990,9,3
246,1990-09-04,False,False,False,,1990,9,4
247,1990-09-05,False,False,False,,1990,9,5
